Date Made Public,Name & Location,type,Number of Records
5/4/2006,"Idaho Power Co. (Boise, ID)","Four company hard drives were sold on eBay containing hundreds of thousands of confidential company documents, employee names and Social Security numbers, and confidential memos to the company's CEO.",Unknown
5/4/2006,"Ohio University Hudson Health Center (Athens, OH)","Names, birth dates, Social Security numbers and medical information were accessed in records of students dating back to 2001, plus faculty, workers and regional campus students.","60,000"
5/6/2009,"Ohio University (Athens, OH)",A breach was discovered on a computer that housed IRS 1099 forms for vendors and independent contractors for calendar years 2004 and 2005.,"2,480"
5/6/2009,"Ohio University (Athens, OH)","A breach of a computer that hosted a variety of Web-based forms, including some that processed on-line business transactions. Although this computer was not set up to store personal information, investigators did discover files that contained fragments of personal information, including Social Security numbers. The data is fragmentary and it is not certain if the compromised information can be traced to individuals. Also found on the computer were 12 credit card numbers that were used for event registration.",Unknown
5/5/2006,"U.S. Dept. of Veteran's Affairs (Washington, D.C.)","A data tape disappeared from a VA facility in Indianapolis, IN that contained information on legal cases involving U.S. veterans and included veterans' Social Security numbers, dates of birth and legal documents. UPDATE (10/11/06): The VA's Office of the General Counsel is offering identity theft protection services to those affected by the missing tape.","16,500"
5/5/2006,"Wells Fargo (San Francisco, CA)","Computer containing names, addresses, Social Security numbers and mortgage loan deposit numbers of existing and prospective customers may have been stolen while being delivered from one bank facility to another.",Unknown
5/12/2006,"Mercantile Potomac Bank (Gaithersburg, MD)","Laptop containing confidential information about customers, including Social Security numbers and account numbers was stolen when a bank employee removed it from the premises, in violation of the bank's policies. The computer did not contain customer passwords, personal identification numbers (PIN numbers) or account expiration dates.","48,000"
5/19/2006,"American Institute of Certified Public Accountants (AICPA) (New York, NY)","An unencrypted hard drive containing names, addresses and Social Security numbers of AICPA members was lost when it was shipped back to the organization by a computer repair company.","330,000 [Updated 6/16/06]"
5/19/2006,Unknown retail merchant,"Visa, MasterCard, and other debit and credit card numbers from banks across the country were stolen when a national retailer's database was breached. No names, Social Security numbers or other personal identification were taken.",Unknown
6/2/2006,"Ahold USA (Landover, MD) Parent company of Stop & Shop, Giant stores and Tops stores via subcontractor Electronic Data Systems (Plano, TX)","An EDS employee lost a laptop computer during a commercial flight that contained pension data of former employees of Ahold's supermarket chains including Social Security numbers, birth dates and benefit amounts.",Unknown
5/22/2006,"U.S. Dept. of Veteran's Affairs (Washington, DC) (800) 827-1000","On May 3, data of all American veterans who were discharged since 1975 including names, Social Security numbers, dates of birth and in many cases phone numbers and addresses, were stolen from a VA employee's home. Theft of the laptop and computer storage device included data of 26.5 milliion veterans. The data did not contain medical or financial information, but may have disability numerical rankings. UPDATE: An additional 2.1 million active and reserve service members were added to the total number of affected individuals June 1st. UPDATE (6/29/06): The stolen laptop computer and the external hard drive were recovered. UPDATE (7/14/06): FBI claims no data had been taken from stolen computer. UPDATE (8/5/06): Two teens were arrested in the theft of the laptop. UPDATE (8/25/06): In an Aug. 25 letter, Secretary Nicholson told veterans of the decision to not offer them credit monitoring services. Rather the VA has contracted with a company to conduct breach analysis to monitor for ""patterns of misuse."" UPDATE (11/23/07): A federal judge questioned the Veterans Affairs Department's computer security and ruled Friday that lawsuits can go forward over the theft of computer equipment containing data on 26.5 million veterans. The lawsuits have been filed as potential class-action cases representing every veteran whose data was released. UPDATE (1/23/09): The Department of Veterans Affairs has agreed to pay $20 million to current and former military personnel to settle a class action lawsuit.","28,600,000"
5/23/2006,"Univ. of Delaware (Newark, DE)","Security breach of a Department of Public Safety computer server potentialy exposes names, Social Security numbers and driver's license numbers.","1,076"
5/23/2006,"M&T Bank (Buffalo, NY)","Laptop computer, owned by PFPC, a third party company that provides record keeping services for M & T's Portfolio Architect accounts was stolen from a vehicle. The laptop contained clients' account numbers, Social Security numbers, last name and the first two letters of their first name.",Unknown
5/23/2006,"Butler Co. Dept. of Mental Retardation & Developmental Disabilities (Cincinatti, OH)","Three laptop computers were stolen ""last month"" from the agency's office. They contained personal information on mental health clients, including SSNs.",100 clients
5/23/2006,"Mortgage Lenders Network USA (Middletown, CT)","A former employee was arrested for extortion for attempting to blackmail his former employer for $6.9 million. He threatened to expose company files containing sensitive customer information - including customers' names, addressess, Social Security numbers, loan numbers, and loan types - if the company didn't pay him. He stole the files over the 16 months he worked there.","231,000"
5/24/2006,"Sacred Heart Univ. (Fairfield, CT)","It was discovered on May 8th that a computer containing personal information including names, addresses and Social Security numbers was breached.",Unknown
5/24/2006,"American Red Cross, St. Louis Chapter (St. Louis,",Dishonest employee had access to Social Security numbers of donors to call urging them to give blood again. The employee misused the persoal information of at least 3 people to perpetrate identity theft and had access to the personal information of 1 million donors.,"1,000,000"
5/25/2006,"Vystar Credit Union (Jacksonville, FL)","Hacker gained access to member accounts ""a few weeks ago"" and stole personal information including names, addresses, birth dates, mother's maiden names, SSNs and/or email addresses.","Approx. 34,400 (""less than 10% of its 344,000 members"")"
5/30/2006,"Texas Guaranteed Student Loan Corp. (Round Rock, TX) via subcontractor, Hummingbird (Toronto, Canada)","Texas Guaranteed (TG) was notified by subcontractor Hummingbird that on May 24, an employee had lost a piece of equipment containing names and Social Security numbers of TG borrowers. UPDATE (6/16/06): TG now says a total of 1.7 million people's information was compromised, 400,000 more than original estimate of 1.3 million.","1,300,000 plus 400,000 for total of 1,700,000"
5/30/2006,"Florida Int'l Univ. (Miami, FL)","Hacker accessed a database that contained personal information, such as student and applicant names and Social Security numbers.","""thousands"""
5/31/2006,"Humana (Louisville, KY)","On May 5, 2006, Medicare drug benefit applications were stolen from an insurance agent's unlocked car in Brooklyn Park, MN. Information included applicants' name, address, date of birth, Social Security number, and bank routing information.",268 Minnesota and North Dakota applicants
6/1/2006,"Miami University (Oxford, OH)",An employee lost a hand-held personal computer containing personal information of students who were enrolled between July 2001 and May 2006.,851
6/1/2006,Ernst & Young (UK),"A laptop containing names, addresses and credit or debit card information of Hotels.com customers was stolen from an employee's car in Texas.","243,000"
6/1/2006,"Univ. of Kentucky (Lexington, KY)",Personal information of current and former University of Kentucky employees including Social Security numbers was inadvertently accessible online for 19 days last month.,"1,300"
6/2/2006,"Buckeye Community Health Plan (Columbus, OH)","Four laptop computers containing customer names, Social Security numbers, and addresses were stolen from the Medicaid insurance provider.","72,000"
6/2/2006,"YMCA (Providence, RI)","Laptop computer containing personal information of members was stolen. The information included credit card and debit card numbers, checking account information, Social Security numbers, the names and addresses of children in daycare programs and medical information about the children, such as allergies and the medicine they take, though the type of stolen information about each person varies.","65,000"
6/2/2006,"Humana (Louisville, KY)",Personal information of Humana customers enrolled in the company's Medicare prescription drug plans could have been compromised when an insurance company employee called up the data through a hotel computer and then failed to delete the file.,"17,000 current and former Medicare enrollees"
6/5/2006,"Internal Revenue Service (Washington, DC)","A laptop computer containing personal information of employees and job applicants, including fingerprints, names, Social Security numbers, and dates of birth, was lost during transit on an airline flight",291
6/6/2006,"Univ. of Texas (El Paso, TX)",Students demonstrated that student body and faculty elections could be rigged by hacking into student information including Social Security numbers.,"4,719"
